"ce_variant","mod_scenario","unit_scenario","setting_scenario","delta","d","UTOS"
"CE = 1 − CAI","lowMOD","U_lowVar","S_stable",0.242766987027961,1.76501536169978,"U_lowVar × S_stable"
"CE = 1 − 0.7·CAI","lowMOD","U_lowVar","S_stable",0.227177695638211,1.64309671284611,"U_lowVar × S_stable"
"CE threshold (logistic)","lowMOD","U_lowVar","S_stable",0.257278999791192,1.8734702843153,"U_lowVar × S_stable"
"CE = 1 − CAI","highMOD","U_lowVar","S_stable",0.241429469996115,1.8364155216585,"U_lowVar × S_stable"
"CE = 1 − 0.7·CAI","highMOD","U_lowVar","S_stable",0.22451552602663,1.71256585838959,"U_lowVar × S_stable"
"CE threshold (logistic)","highMOD","U_lowVar","S_stable",0.255379702754288,1.95130327186549,"U_lowVar × S_stable"
"CE = 1 − CAI","lowMOD","U_highVar","S_stable",0.195536874586389,1.40890125004205,"U_highVar × S_stable"
"CE = 1 − 0.7·CAI","lowMOD","U_highVar","S_stable",0.176090978816234,1.26110151435275,"U_highVar × S_stable"
"CE threshold (logistic)","lowMOD","U_highVar","S_stable",0.211025147129284,1.52302291775047,"U_highVar × S_stable"
"CE = 1 − CAI","highMOD","U_highVar","S_stable",0.193933071035004,1.44191985330512,"U_highVar × S_stable"
"CE = 1 − 0.7·CAI","highMOD","U_highVar","S_stable",0.173530894330355,1.29079664489909,"U_highVar × S_stable"
"CE threshold (logistic)","highMOD","U_highVar","S_stable",0.208715083486721,1.55990288426054,"U_highVar × S_stable"
"CE = 1 − CAI","lowMOD","U_lowVar","S_variable",0.241083105846303,1.74340097186443,"U_lowVar × S_variable"
"CE = 1 − 0.7·CAI","lowMOD","U_lowVar","S_variable",0.226009763518761,1.63115772841646,"U_lowVar × S_variable"
"CE threshold (logistic)","lowMOD","U_lowVar","S_variable",0.249319729848137,1.80657241804685,"U_lowVar × S_variable"
"CE = 1 − CAI","highMOD","U_lowVar","S_variable",0.239703672577561,1.81108302228089,"U_lowVar × S_variable"
"CE = 1 − 0.7·CAI","highMOD","U_lowVar","S_variable",0.223341678835248,1.69825847661987,"U_lowVar × S_variable"
"CE threshold (logistic)","highMOD","U_lowVar","S_variable",0.247673811735396,1.87895424315944,"U_lowVar × S_variable"
"CE = 1 − CAI","lowMOD","U_highVar","S_variable",0.193459373275303,1.3843180460973,"U_highVar × S_variable"
"CE = 1 − 0.7·CAI","lowMOD","U_highVar","S_variable",0.174653695798891,1.24686626622581,"U_highVar × S_variable"
"CE threshold (logistic)","lowMOD","U_highVar","S_variable",0.20225564553902,1.4500773001318,"U_highVar × S_variable"
"CE = 1 − CAI","highMOD","U_highVar","S_variable",0.191760170008861,1.41466399993028,"U_highVar × S_variable"
"CE = 1 − 0.7·CAI","highMOD","U_highVar","S_variable",0.172108620730114,1.27513169407239,"U_highVar × S_variable"
"CE threshold (logistic)","highMOD","U_highVar","S_variable",0.200221615355522,1.48421601190911,"U_highVar × S_variable"
